id	date	actor	jurisdiction	stratum	layer	one_line	source_url_1	source_url_2	confidence	in_corpus
fsb-global-stablecoin-recommendations-final-2023	2023-07-17	fsb	UN	S6_supranational	none-soft-governance	FSB final high-level recommendations for global stablecoin arrangements. SOFT-GOVERNANCE -> context-only candidate.	https://www.fsb.org/2023/07/high-level-recommendations-for-the-regulation-supervision-and-oversight-of-global-stablecoin-arrangements-final-report/	https://www.fsb.org/uploads/P170723-3.pdf	medium-institution-real-WBunconfirmed-SOFT	false
esa-eba-esma-eiopa-virtual-currency-warning-2013-12	2013-12-13	esas_eu	EU	S6_supranational	none-warning	EU ESAs (EBA/ESMA/EIOPA) joint consumer warning on virtual-currency risks (2013-12). SOFT-WARNING (like CFPB 2014) -> context-only per scope-boundary.	https://www.eba.europa.eu/publications-and-media/press-releases/esas-warn-consumers-risks-buying-virtual-currencies	https://www.iosco.org/library/ico-statements/	medium-institution-real-WBunconfirmed-WARNING	false
eu-russia-sanctions-crypto-services-ban-2022-10	2022-10-06	eu_council	EU	S6_supranational	offramp_cex	EU 8th Russia sanctions package: total ban on providing crypto-asset wallet/account/custody services to Russian persons (tightening the earlier cap). DIRECT CENSORSHIP at offramp_cex/asset layer. NOTE: verify exact package/date (8th=2022-10; later 18th/19th/20th expanded) before authoring.	https://www.consilium.europa.eu/en/press/press-releases/2022/10/06/russia-s-military-aggression-against-ukraine-eu-adopts-8th-package-of-sanctions-against-russia/	https://finance.ec.europa.eu/	medium-needs-exact-package-verify	false
genesis-market-ofac-2023-04	2023-04-05	us_ofac	US	S1_ofac_sdn	offramp_cex	OFAC designated Genesis Market (major stolen-credential darknet marketplace) alongside the international Operation Cookie Monster takedown. Treasury jy2616.	https://home.treasury.gov/news/press-releases/jy2616	https://www.chainalysis.com/blog/ofac-sanctions/	medium-treasury-url-pattern	false
netex24-bitpapa-russia-crypto-ofac-2024-03	2024-03-25	us_ofac	US	S1_ofac_sdn	offramp_cex	OFAC designated Russian crypto services Netex24 + Bitpapa for sanctions-evasion facilitation. Treasury jy2204.	https://home.treasury.gov/news/press-releases/jy2204	https://www.chainalysis.com/blog/ofac-sanctions-russia-blockchain-companies-netex24-bitpapa/	medium-treasury-url-pattern	false
evil-corp-ofac-2024-10	2024-10-01	us_ofac	US	S1_ofac_sdn	offramp_cex	OFAC (US/UK/AU) designated Russia-based Evil Corp ransomware group members; updated designation tying Evil Corp to LockBit. Treasury jy2623.	https://home.treasury.gov/news/press-releases/jy2623	https://www.chainalysis.com/blog/ofac-designates-russia-based-evil-corp-october-2024/	medium-treasury-url-pattern	false
task-force-rusich-ofac-2022-09	2022-09-15	us_ofac	US	S1_ofac_sdn	offramp_cex	OFAC designated Russian neo-Nazi paramilitary group Task Force Rusich (crowdfunding the Ukraine war via crypto). One of the early terror/paramilitary crypto-address designations.	https://www.coindesk.com/policy/2022/09/15/us-treasury-sanctions-russian-paramilitary-group-crowdfunding-ukraine-war-with-crypto-2	https://www.chainalysis.com/blog/ofac-sanctions/	medium	false
bitriver-russia-mining-ofac-2022-04	2022-04-20	us_ofac	US	S1_ofac_sdn	offramp_cex	First OFAC designation of a crypto-MINING company (BitRiver AG + 10 RU subsidiaries). AUTHORED as events/bitriver-russia-mining-ofac-2022-04.yaml (tick 5).	https://home.treasury.gov/news/press-releases/jy0731	https://therecord.media/us-treasury-dept-sanctions-russian-crypto-mining-giant-bitriver	high-AUTHORED	false
sec-etherdelta-coburn-unregistered-exchange-2018-11	2018-11-08	us_sec	US	S3_doj_sec_cftc_fiod	l4_frontend	SEC charged Zachary Coburn (EtherDelta founder) for operating an unregistered securities exchange — the FIRST SEC enforcement against a decentralized exchange (DEX) operator. ENFORCEMENT-CENSORSHIP (state action against a DEX frontend/operator).	https://www.sec.gov/newsroom/press-releases/2018-258	https://www.sec.gov/litigation/admin/2018/34-84553.pdf	high-notable-first	false
sec-lbry-lbc-unregistered-securities-2021-03	2021-03-29	us_sec	US	S3_doj_sec_cftc_fiod	offramp_cex	SEC sued LBRY for unregistered securities (LBC); the case ultimately forced LBRY to wind down operations (2023). ENFORCEMENT-CENSORSHIP (state action killed a decentralized content protocol).	https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25775	https://www.sec.gov/newsroom/press-releases/2021-58	high	false
sec-kik-interactive-kin-unregistered-offering-2020-10	2020-10-21	us_sec	US	S3_doj_sec_cftc_fiod	asset_onchain	SEC won summary judgment vs Kik Interactive over the $100M Kin token ICO (unregistered offering); Kik settled $5M. ENFORCEMENT (token-offering crackdown).	https://www.sec.gov/newsroom/press-releases/2020-262	https://www.sec.gov/litigation/litreleases/2020/lr24924.htm	medium	false
colonial-pipeline-darkside-ransom-clawback-doj-2021	2021-06-07	us_doj_fbi	US	S3_doj_sec_cftc_fiod	asset_onchain	DOJ/FBI seized ~$2.3M (63.7 BTC) of the Colonial Pipeline ransom paid to DarkSide, recovering the private key. ASSET-ONCHAIN SEIZURE — high-profile. AUTHORING NOTE: asset_onchain observed_change needs a primary_onchain tx_hash (the seizure tx); locate it before authoring (codebook 1.6).	https://www.justice.gov/archives/opa/pr/department-justice-seizes-23-million-cryptocurrency-paid-ransomware-extortionists-darkside	https://www.justice.gov/opa/pr/department-justice-seizes-23-million-cryptocurrency-paid-ransomware-extortionists-darkside	high-needs-onchain-tx	false
onecoin-doj-sdny-2019	2019-03-08	us_doj_sdny	US	S3_doj_sec_cftc_fiod	none	DOJ SDNY charged OneCoin leaders (Konstantin Ignatov; Ruja Ignatova at large) in the multi-billion-dollar OneCoin Ponzi. BORDERLINE/OUT-OF-SCOPE: prosecuting a SCAM, not censoring a legit crypto service (cf. scope-boundary flag).	https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-charges-against-leaders-onecoin-multibillion-dollar	https://www.justice.gov/usao-sdny	low-BORDERLINE-fraud	false
sec-dao-report-21a-2017-07	2017-07-25	us_sec	US	S3_doj_sec_cftc_fiod	none	SEC 21(a) DAO Report — established that tokens can be securities (declined to prosecute). REGULATORY-REPORT (foundational framework, not an enforcement/block action) -> soft/context-only per scope-boundary.	https://www.sec.gov/newsroom/press-releases/2017-131	https://www.sec.gov/files/litigation/investreport/34-81207.pdf	medium-SOFT-report	false
bittrex-privacy-coin-delisting-2021-01	2021-01	bittrex	US	S5_corporate	offramp_cex	Bittrex delisted privacy coins Monero (XMR), Zcash (ZEC), Dash (DASH) effective 2021-01-15, citing regulatory/compliance. offramp_cex observed_change. AUTHORED as events/bittrex-privacy-coin-delisting-2021-01.yaml (tick 8).	https://bittrex.zendesk.com/hc/en-us/articles/360051110492	https://www.theblockcrypto.com/linked/87241/bittrex-delist-monero-dash-zcash	medium-AUTHOR-READY	false
infura-metamask-venezuela-overbroad-geoblock-2022-03	2022-03-03	infura_consensys	US	S5_corporate	l3_rpc	LIKELY DUPLICATE of corpus infura-metamask-donetsk-luhansk-block-2022-03 (the accidental over-blocking of Venezuela was part of that same 2022-03-03 Infura geoblock event). DROP-as-dup unless treated as a distinct over-block sub-observation.	https://www.coindesk.com/business/2022/03/04/crypto-industrys-sanctions-woes-on-full-display-in-metamasks-venezuela-hiccup	https://decrypt.co/94315/	DUP-of-corpus	true
tether-garantex-usdt-freeze-2025-03	2025-03-06	tether	corporate_global	S5_corporate	asset_onchain	Tether froze ~$28M USDT in Garantex-linked wallets after the EU sanctioned Garantex, effectively halting the exchange. Clear asset_onchain issuer freeze + offramp shutdown. AUTHOR-NOTE: asset_onchain needs a primary_onchain freeze tx_hash (codebook 1.6) — locate the USDT blacklist tx before authoring.	https://www.coindesk.com/policy/2025/03/06/tether-freezes-usdt-on-sanctioned-russian-exchange-garantex	https://www.chainalysis.com/blog/	high-needs-onchain-tx	false
tether-voluntary-ofac-sdn-wallet-freeze-policy-2023-12	2023-12-09	tether	corporate_global	S5_corporate	asset_onchain	Tether announced a policy to voluntarily freeze wallets of all OFAC-SDN-listed persons. CENSORSHIP-POLICY (issuer-level freeze capability extension) rather than a single action — review whether policy announcements are events or context.	https://tether.to/en/tether-to-voluntarily-add-secondary-wallet-freeze-policy-for-secondary-sanctions/	https://www.theblock.co/post/267089/	medium-POLICY-borderline	false
bittrex-global-shutdown-2023-11	2023-11	bittrex_global	US	S5_corporate	offramp_cex	Bittrex Global wound down / ceased trading (Dec 2023) following the US Bittrex Chapter 11 + SEC unregistered-exchange suit. Borderline: shutdown partly enforcement-driven (SEC) vs business decision — tag for scope.	https://www.coindesk.com/business/2023/10/27/crypto-exchange-bittrex-global-to-wind-down-operations	https://www.sec.gov/newsroom/press-releases/2023-78	medium-borderline	false
china-pboc-banks-close-exchange-accounts-2014-04	2014-04	pboc_china	CN	S4_nation_state	offramp_cex	PBOC ordered Chinese banks + payment processors to close Bitcoin-exchange accounts (April 2014), severing fiat rails for CN exchanges. HARD-BAN/CENSORSHIP. Jurisdiction CN=in-vocab -> AUTHORABLE. Corpus has china-pboc-crypto-ban-2013-12 (the Dec 2013 notice); this is the April 2014 bank-account enforcement.	https://www.coindesk.com/markets/2014/04/10/chinas-central-bank-orders-banks-to-close-bitcoin-exchange-accounts/	https://www.reuters.com/	medium-AUTHORABLE-CN	false
vietnam-sbv-bitcoin-prohibition-2014-02	2014-02-27	sbv_vietnam	VN	S4_nation_state	offramp_cex	State Bank of Vietnam prohibited credit institutions from using/trading Bitcoin (Feb 2014). HARD-BAN. VOCAB-BLOCKED (VN not in enum) -> author after ISO-code blessing.	https://www.reuters.com/article/vietnam-bitcoin/	https://www.coindesk.com/	medium-VOCAB-BLOCKED	false
ecuador-national-assembly-bitcoin-ban-2014-07	2014-07-23	ecuador_assembly	EC	S4_nation_state	offramp_cex	Ecuador National Assembly banned Bitcoin/decentralized crypto while creating a state electronic-money system (July 2014). HARD-BAN. VOCAB-BLOCKED (EC).	https://www.coindesk.com/markets/2014/07/24/ecuador-bans-bitcoin-plans-its-own-digital-money/	https://www.bbc.com/news	medium-VOCAB-BLOCKED	false
jordan-cbj-bank-crypto-prohibition-2014-02	2014-02	cbj_jordan	JO	S4_nation_state	offramp_cex	Central Bank of Jordan prohibited banks/exchanges/financial firms from dealing in virtual currencies (2014). HARD-BAN. VOCAB-BLOCKED (JO). NOTE: gap-discovery had 2 dup rows (jordan-cbj-crypto-banking-ban-2014 / -bank-crypto-prohibition-2014) -> single event.	https://www.reuters.com/	https://www.coindesk.com/	medium-VOCAB-BLOCKED-dedup	false
nepal-nrb-bitcoin-ban-2017-08	2017-08-13	nrb_nepal	NP	S4_nation_state	offramp_cex	Nepal Rastra Bank declared Bitcoin illegal (Aug 2017); arrests followed. HARD-BAN. VOCAB-BLOCKED (NP). (Corpus may relate to a later 2021 Nepal ban.)	https://kathmandupost.com/	https://www.coindesk.com/	medium-VOCAB-BLOCKED	false
morocco-office-des-changes-crypto-ban-2017-11	2017-11-20	office_des_changes_morocco	MA	S4_nation_state	offramp_cex	Morocco Office des Changes declared crypto transactions illegal / subject to penalties (Nov 2017). HARD-BAN. VOCAB-BLOCKED (MA).	https://www.reuters.com/article/morocco-bitcoin/	https://www.coindesk.com/	medium-VOCAB-BLOCKED	false
iraq-cbi-cryptocurrency-prohibition-2017	2017-01	cbi_iraq	IQ	S4_nation_state	offramp_cex	Central Bank of Iraq prohibited use of cryptocurrencies (2017). HARD-BAN. VOCAB-BLOCKED (IQ). gap-discovery dup (iraq-cbi-crypto-prohibition-2017) -> single event.	https://www.reuters.com/	https://www.coindesk.com/	low-VOCAB-BLOCKED-needs-verify	false
bangladesh-bb-crypto-illegality-2017-09	2017-09	bangladesh_bank	BD	S4_nation_state	offramp_cex	Bangladesh Bank reaffirmed crypto illegality (2017; reaffirmed through 2022), warning of money-laundering-law penalties. HARD-BAN. Jurisdiction BD=in-vocab -> AUTHORABLE. gap-discovery dup -> single event.	https://www.thedailystar.net/	https://www.coindesk.com/	medium-AUTHORABLE-BD	false
india-rbi-virtual-currency-caution-2013-12	2013-12-24	rbi_india	IN	S4_nation_state	none-warning	RBI first public caution on virtual-currency risks (Dec 2013). SOFT-WARNING (not a ban) -> borderline per scope-boundary. Jurisdiction IN=in-vocab. Corpus has india-rbi-banking-ban-2018 (the 2018 hard ban); this 2013 caution is the soft precursor.	https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=30247	https://www.coindesk.com/	medium-SOFT-IN	false
france-norway-belgium-denmark-eu-cb-bitcoin-not-currency-2013-2014	2013-12	eu_central_banks	EU	S4_nation_state	none-warning	Cluster of EU central-bank/regulator "Bitcoin is not currency / consumer-risk" warnings (France BdF 2013-12, Norway tax 2013-12, Belgium NBB/FSMA 2014-01, Denmark FSA 2014). SOFT-WARNINGS (non-recognition statements, not bans) -> likely context-only per scope-boundary. Registered as a cluster; split per-country only if scope decision includes soft warnings.	https://www.banque-france.fr/	https://www.coindesk.com/	low-SOFT-CLUSTER	false
philippines-ntc-sec-binance-app-isp-block-2024-04	2024-04	ntc_sec_philippines	PH	S4_nation_state	l0_network	DUPLICATE of corpus philippines-sec-binance-block-2024 (the 2024 NTC ISP block of Binance I audited in C-5, OONI-anchored). DROP-as-dup.	https://www.coindesk.com/	-	DUP-of-corpus	true
indonesia-kominfo-exchange-social-account-block-2024-07	2024-07-16	kominfo_indonesia	ID	S4_nation_state	l4_frontend	Kominfo blocked Instagram/social-media accounts of Binance, Bybit, Bitget, KuCoin (2024-07-16) for operating without Indonesian PSE licenses. DISTINCT from corpus indonesia-bappebti-2023-04 (the 2023 domain block I re-dated in C-5; the kumparan 2024-07 source there was for THIS event). NET-NEW, ID in-vocab. AUTHOR-READY.	https://www.cnbcindonesia.com/market/20240717120732-17-555342/kominfo-blokir-medsos-kripto-binance-kucoin-bappebti-buka-suara	https://kumparan.com/kumparanbisnis/bappebti-gandeng-kominfo-blokir-platform-kripto-luar-negeri-239TA5gFYDn	high-AUTHOR-READY-ID	false
indonesia-bi-payment-prohibition-2018-01	2018-01-13	bank_indonesia	ID	S4_nation_state	offramp_cex	Bank Indonesia prohibited payment-system operators + fintech from processing crypto transactions (2018-01-13). HARD-BAN, ID in-vocab. gap-discovery dup (indonesia-bi-payment-instrument-prohibition-2018-01) -> single event. Distinct from corpus indonesia-bi-bitcoin-warning-2014.	https://www.reuters.com/article/indonesia-bitcoin/	https://www.coindesk.com/	medium-AUTHORABLE-ID	false
philippines-bsp-vasp-license-moratorium-2022-09	2022-09-01	bsp_philippines	PH	S4_nation_state	offramp_cex	Bangko Sentral ng Pilipinas imposed a 3-year moratorium on new VASP licenses (Sep 2022). PH in-vocab. Distinct from corpus philippines-sec-binance-block-2024.	https://www.bsp.gov.ph/	https://www.coindesk.com/	medium-AUTHORABLE-PH	false
canada-csa-pre-registration-undertaking-exchange-exodus-2023-02	2023-02-22	csa_canada	CA	S4_nation_state	offramp_cex	Canadian Securities Administrators required crypto exchanges to sign pre-registration undertakings (Feb 2023), triggering an exodus (Binance/OKX/Bybit/Paxos left Canada). CA in-vocab. gap-discovery dup -> single event. Relates to corpus kucoin-canada-exit-2023 (which I audited).	https://www.securities-administrators.ca/news/	https://www.coindesk.com/	medium-AUTHORABLE-CA	false
eu-18th-package-russia-casp-spfs-ban-2025-07	2025-07-18	eu_council	EU	S6_supranational	offramp_cex	EU 18th sanctions package extended crypto restrictions (CASP transactions, A7A5 ruble-stablecoin, SPFS). DISTINCT from 8th (authored). EU in-vocab. AUTHOR-READY (template = eu-8th-package-russia-crypto-services-ban-2022-10 authored tonight).	https://www.consilium.europa.eu/en/press/press-releases/2025/07/18/	https://www.coindesk.com/	high-AUTHOR-READY-template-exists	false
eu-19th-package-russia-a7a5-crypto-ban-2025-10	2025-10-23	eu_council	EU	S6_supranational	asset_onchain	EU 19th sanctions package: transaction ban targeting the A7A5 ruble-pegged stablecoin + further crypto/CASP measures. DISTINCT. EU in-vocab. AUTHOR-READY.	https://www.consilium.europa.eu/en/press/press-releases/2025/10/	https://www.coindesk.com/	high-AUTHOR-READY	false
eu-5th-package-russia-crypto-cap-2022-04	2022-04-08	eu_council	EU	S6_supranational	offramp_cex	EU 5th sanctions package (2022-04-08): FIRST EU crypto restriction — banned high-value (>EUR 10k) crypto-asset services to Russian persons (the threshold the 8th package later removed). The foundational EU-crypto-sanctions event. EU in-vocab. AUTHOR-READY (precedes the authored 8th-package event).	https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/	https://www.coindesk.com/	high-AUTHOR-READY	false
